trial_num,jspsychID,stimulus,agent,time_elapse,causal_rating,counterfactual_rating,animacy_rating,rt_1,rt_2,rt_3,trial_rt,subject_id,outcome,cf,outcome_CF_match,vid_num
62,sgm5w7sjf8u1y6r,2a_in_out_close.mp4,animate,713708.0,75,28,77,10002.10000000894,14575.60000000894,15936.0,16536.29999999702,4,in,out,False,2
64,sgm5w7sjf8u1y6r,8p_in_in.mp4,inanimate,725269.0,1,100,1,5512.09999999404,7251.29999999702,9686.09999999404,10057.20000000298,4,in,in,True,8
66,sgm5w7sjf8u1y6r,23p_out_in_far.mp4,inanimate,735635.0,82,84,2,5913.5,7883.5,8989.39999999106,9362.39999999106,4,out,in,False,23
68,sgm5w7sjf8u1y6r,19p_out_in_close.mp4,inanimate,747116.0,74,76,13,6198.70000000298,8098.70000000298,10466.70000000298,10976.70000000298,4,out,in,False,19
70,sgm5w7sjf8u1y6r,15p_out_out_med.mp4,inanimate,766424.0,13,1,21,13026.0,14246.09999999404,18176.90000000596,18552.79999999702,4,out,out,True,15
72,sgm5w7sjf8u1y6r,12a_in_in.mp4,animate,784526.0,1,100,100,14724.20000000298,16009.20000000298,17150.09999999404,17597.29999999702,4,in,in,True,12
74,sgm5w7sjf8u1y6r,11a_in_in.mp4,animate,808073.0,1,100,100,17223.70000000298,18678.70000000298,22620.59999999404,23042.70000000298,4,in,in,True,11
76,sgm5w7sjf8u1y6r,22a_out_in_med.mp4,animate,827021.0,100,100,100,14526.29999999702,15550.09999999404,16499.29999999702,17443.20000000298,4,out,in,False,22
78,sgm5w7sjf8u1y6r,13a_out_out_close.mp4,animate,841316.0,16,17,100,8743.40000000596,11302.40000000596,13361.40000000596,13790.40000000596,4,out,out,True,13
80,sgm5w7sjf8u1y6r,14p_out_out_close_.mp4,inanimate,856091.0,1,1,82,7993.300000011921,9609.30000001192,10959.30000001192,13771.20000000298,4,out,out,True,14
82,sgm5w7sjf8u1y6r,19a_out_in_close.mp4,animate,870018.0,100,100,100,5812.29999999702,11801.10000000894,12863.10000000894,13421.10000000894,4,out,in,False,19
84,sgm5w7sjf8u1y6r,21p_out_in_med.mp4,inanimate,886003.0,61,38,71,8130.5,12786.40000000596,14152.40000000596,14481.40000000596,4,out,in,False,21
86,sgm5w7sjf8u1y6r,16a_out_out_med.mp4,animate,908976.0,18,18,100,12008.70000000298,15368.79999999702,21276.70000000298,21967.79999999702,4,out,out,True,16
88,sgm5w7sjf8u1y6r,10 a_in_in.mp4,animate,928680.0,89,22,98,13450.60000000894,15930.30000001192,18091.40000000596,18699.5,4,in,in,True,10
90,sgm5w7sjf8u1y6r,5a_in_out_far.mp4,animate,939327.0,100,1,100,5209.29999999702,7546.599999994039,9012.39999999106,9393.29999999702,4,in,out,False,5
92,sgm5w7sjf8u1y6r,6p_in_out_far.mp4,inanimate,954360.0,100,1,1,5910.600000008941,8313.0,12169.60000000894,13027.70000000298,4,in,out,False,6
94,sgm5w7sjf8u1y6r,21a_out_in_med.mp4,animate,972891.0,58,45,100,7853.0,12204.29999999702,16875.19999998808,17277.19999998808,4,out,in,False,21
96,sgm5w7sjf8u1y6r,4a_in_out_med.mp4,animate,986288.0,70,40,100,6601.300000011921,9404.40000000596,10703.30000001192,11392.40000000596,4,in,out,False,4
98,sgm5w7sjf8u1y6r,18a_out_out_far.mp4,animate,1032826.0,1,1,100,43174.59999999404,43974.0,45809.79999999702,46283.59999999404,4,out,out,True,18
100,sgm5w7sjf8u1y6r,11p_in_in.mp4,inanimate,1049745.0,63,35,20,6592.20000000298,8350.10000000894,13873.10000000894,15414.20000000298,4,in,in,True,11
6,2e2qvcjqu8nzhzp,9p_in_in.mp4,inanimate,106442.0,100,1,1,22976.29999995232,32077.5,39086.39999997616,39885.0,5,in,in,True,9
8,2e2qvcjqu8nzhzp,7p_in_in.mp4,inanimate,126523.0,1,100,1,10595.299999952316,16727.299999952316,18402.79999995232,19808.79999995232,5,in,in,True,7
10,2e2qvcjqu8nzhzp,12p_in_in.mp4,inanimate,150789.0,21,97,1,11720.699999928474,19213.60000002384,21576.699999928474,22745.79999995232,5,in,in,True,12
12,2e2qvcjqu8nzhzp,14a_out_out_close.mp4,animate,213213.0,60,27,53,46779.0,56049.10000002384,59997.5,60909.60000002384,5,out,out,True,14
14,2e2qvcjqu8nzhzp,12a_in_in.mp4,animate,237524.0,7,100,1,20194.29999995232,18023.699999928474,23018.29999995232,24030.699999928474,5,in,in,True,12
16,2e2qvcjqu8nzhzp,23p_out_in_far.mp4,inanimate,293519.0,1,1,1,50791.29999995232,52400.19999992848,53840.5,54717.69999992848,5,out,in,False,23
18,2e2qvcjqu8nzhzp,8p_in_in.mp4,inanimate,331747.0,1,100,1,32336.59999990464,35543.199999928474,36949.09999990463,37961.39999997616,5,in,in,True,8
20,2e2qvcjqu8nzhzp,24a_out_in_far.mp4,animate,361404.0,8,5,1,19871.29999995232,23167.89999997616,26958.699999928474,28139.89999997616,5,out,in,False,24
22,2e2qvcjqu8nzhzp,21p_out_in_med.mp4,inanimate,397933.0,28,36,1,25064.60000002384,32321.29999995232,29565.10000002384,34998.89999997616,5,out,in,False,21
24,2e2qvcjqu8nzhzp,6a_in_out_far.mp4,animate,431120.0,100,1,100,31547.09999990464,29814.59999990464,25528.0,32672.29999995232,5,in,out,False,6
26,2e2qvcjqu8nzhzp,7a_in_in.mp4,animate,450998.0,1,100,100,10277.199999928474,15710.599999904633,16959.799999952316,18118.09999990464,5,in,in,True,7
28,2e2qvcjqu8nzhzp,16p_out_out_med.mp4,inanimate,472866.0,1,1,1,17854.399999976158,15919.399999976158,19272.0,20093.29999995232,5,out,out,True,16
30,2e2qvcjqu8nzhzp,20p_out_in_close.mp4,inanimate,499101.0,19,19,1,19307.89999997616,21749.0,23189.200000047684,24212.79999995232,5,out,in,False,20
32,2e2qvcjqu8nzhzp,11p_in_in.mp4,inanimate,527148.0,79,17,1,22472.89999997616,26095.5,19097.79999995232,27276.5,5,in,in,True,11
34,2e2qvcjqu8nzhzp,24p_out_in_far.mp4,inanimate,562799.0,8,7,60,32627.79999995232,22772.59999990464,18553.699999928474,35136.5,5,out,in,False,24
36,2e2qvcjqu8nzhzp,15p_out_out_med.mp4,inanimate,589090.0,12,1,1,21416.80000007153,24510.10000002384,10290.800000071526,25781.700000047684,5,out,out,True,15
38,2e2qvcjqu8nzhzp,6p_in_out_far.mp4,inanimate,613766.0,100,1,1,12985.799999952316,20816.0,22233.10000002384,23155.89999997616,5,in,out,False,6
